-0.0163;0.01323
-0.0009;0.013
0.0148;0.01277
0.0306;0.01256
0.0465;0.01239
0.0627;0.01222
0.073;0.0121
0.0964;0.01184
0.1097;0.0117
0.1237;0.01155
0.1383;0.01139
0.1535;0.01123
0.1691;0.01106
0.185;0.01091
0.2011;0.01076
0.2176;0.01063
0.2343;0.01052
0.2422;0.0105
0.2526;0.01047
0.2654;0.01043
0.2795;0.01038
0.2943;0.01034
0.3092;0.01031
0.3242;0.01028
0.3394;0.01025
0.3546;0.01023
0.3614;0.01028
0.3726;0.01029
0.3851;0.01028
0.3984;0.01022
0.4122;0.01016
0.426;0.01007
0.4382;0.00996
0.4464;0.00992
0.457;0.0098
0.4688;0.00969
0.4806;0.00954
0.4928;0.0094
0.502;0.00931
0.511;0.00921
0.5209;0.00905
0.5305;0.00885
0.5457;0.00855
0.5552;0.00856
0.5659;0.00851
0.5775;0.00844
0.5892;0.00836
0.5988;0.00835
0.6095;0.0083
0.6208;0.00822
0.6313;0.00818
0.6415;0.00814
0.6525;0.00807
0.6631;0.00802
0.6733;0.00799
0.6844;0.00791
0.6943;0.00789
0.7051;0.00783
0.7153;0.0078
0.726;0.00775
0.7361;0.00773
0.7464;0.0077
0.7566;0.00767
0.7665;0.00765
0.7765;0.00755
0.7862;0.00756
0.7956;0.00769
0.8048;0.00789
0.8142;0.00808
0.8235;0.00828
0.8329;0.00846
0.8422;0.00865
0.8516;0.00883
0.861;0.00902
0.8705;0.00919
0.88;0.00937
0.8894;0.00955
0.8989;0.00973
0.9084;0.00991
0.9178;0.01009
0.9272;0.01028
0.9366;0.01047
0.9459;0.01067
0.9552;0.01087
0.9647;0.01107
0.974;0.01127
0.9833;0.01148
0.9926;0.01169
1.0019;0.01191
1.0111;0.01214
1.0203;0.01237
1.0296;0.0126
1.0387;0.01284
1.0478;0.01308
1.0568;0.01335
1.0657;0.01362
1.0745;0.01391
1.0835;0.01418
1.0923;0.01447
1.1011;0.01478
1.1096;0.0151
1.1181;0.01545
1.1265;0.0158
1.1348;0.01617
1.1427;0.01658
1.1506;0.017
1.1591;0.01734
1.1663;0.01786
1.1751;0.01815
1.1814;0.01877
1.1892;0.01919
1.1975;0.01955
1.2052;0.01995
1.2099;0.02076
1.2163;0.02134
1.225;0.02159
1.2329;0.02197
1.2402;0.02241
1.2473;0.02287
1.254;0.02337
1.2599;0.02399
1.2645;0.02484
1.2677;0.02605
1.2704;0.0278
1.2779;0.02826
1.2851;0.02883
1.292;0.02947
1.2986;0.0302
1.305;0.03099
1.3112;0.03185
1.3171;0.03276
1.3227;0.03366
1.3281;0.03453
1.3331;0.03537
1.3379;0.03618
1.3422;0.03696
1.3463;0.03773
1.3499;0.0385
1.3531;0.03929
1.3557;0.04016
1.357;0.04115
1.3572;0.04223
1.3566;0.04334
1.3554;0.04447
1.3533;0.04564
1.3506;0.04685
1.3472;0.04811
1.3431;0.04942
1.3384;0.05078
1.3331;0.05222
1.3272;0.05372
1.3208;0.0553
1.3138;0.05696
1.3063;0.05871
1.2984;0.06055
1.2902;0.0625
1.2815;0.06454
1.2726;0.06669
1.2634;0.06898
1.254;0.0714
1.2444;0.07397
1.2347;0.07672
1.225;0.07964
1.2151;0.08273
1.2051;0.08602
1.1951;0.08952
1.1849;0.09324
1.1746;0.09719
1.164;0.10139
1.1531;0.10587
1.1418;0.11072
1.1298;0.116
1.1169;0.12186
1.1023;0.12848
1.0855;0.13611
1.0674;0.14433
1.0539;0.15079